Senator,State,State Electors,State Female Electors,State Male Electors,Female Share,Male Share,Active Participants,Share of National Participants,Participants as % of State Electors,Average Committed Support,Average Payments,Estimated Annual Funding Flow,Autism,Intellectual Disability,Psychosocial Disability,First Nations,CALD,0-14 Years,15+ Years,Major Cities (MMM1),Inner Regional (MMM2),Outer Regional (MMM3),Medium Rural (MMM4),Small Rural (MMM5),Remote (MMM6),Very Remote (MMM7),Active Providers,Participants Per Provider,State Share of National Providers,Participants,Average Support,Total Annual Committed Supports,1% Funding Reduction,5% Funding Reduction,10% Funding Reduction
Senator the Hon Jonathon Duniam,TAS,414449,213953,199836,0.5162348,0.4821727,16723,0.02159322156455628,4.03499586197578,49290.15,35257.79,824279103.63,6973,2857,1220,1865,413,5958,10765,0,10943,3004,84,2485,176,48,8792,1.9,0.02713262024824249,16723,49290.15,824279103.63,8242791.0363,41213955.1815,82427910.363
Senator Jacqui Lambie,TAS,414449,213953,199836,0.5162348,0.4821727,16723,0.02159322156455628,4.03499586197578,49290.15,35257.79,824279103.63,6973,2857,1220,1865,413,5958,10765,0,10943,3004,84,2485,176,48,8792,1.9,0.02713262024824249,16723,49290.15,824279103.63,8242791.0363,41213955.1815,82427910.363
Senator Nicholas McKim,TAS,414449,213953,199836,0.5162348,0.4821727,16723,0.02159322156455628,4.03499586197578,49290.15,35257.79,824279103.63,6973,2857,1220,1865,413,5958,10765,0,10943,3004,84,2485,176,48,8792,1.9,0.02713262024824249,16723,49290.15,824279103.63,8242791.0363,41213955.1815,82427910.363
Senator Helen Polley,TAS,414449,213953,199836,0.5162348,0.4821727,16723,0.02159322156455628,4.03499586197578,49290.15,35257.79,824279103.63,6973,2857,1220,1865,413,5958,10765,0,10943,3004,84,2485,176,48,8792,1.9,0.02713262024824249,16723,49290.15,824279103.63,8242791.0363,41213955.1815,82427910.363
Senator Tammy Tyrrell,TAS,414449,213953,199836,0.5162348,0.4821727,16723,0.02159322156455628,4.03499586197578,49290.15,35257.79,824279103.63,6973,2857,1220,1865,413,5958,10765,0,10943,3004,84,2485,176,48,8792,1.9,0.02713262024824249,16723,49290.15,824279103.63,8242791.0363,41213955.1815,82427910.363
Senator Peter Whish-Wilson,TAS,414449,213953,199836,0.5162348,0.4821727,16723,0.02159322156455628,4.03499586197578,49290.15,35257.79,824279103.63,6973,2857,1220,1865,413,5958,10765,0,10943,3004,84,2485,176,48,8792,1.9,0.02713262024824249,16723,49290.15,824279103.63,8242791.0363,41213955.1815,82427910.363
Senator Michelle Ananda-Rajah,VIC,4661613,2392269,2263189,0.5131848,0.4854948,208851,0.2696744553596331,4.480230340871282,40103.95,29613.09,8375749436.1,88866,27269,20454,8073,23227,90568,118283,151132,20618,13736,11249,12010,98,0,102278,2.04,0.3156358204901894,208851,40103.95,8375749436.1,83757494.361,418787471.8050001,837574943.6100001
Senator Ralph Babet,VIC,4661613,2392269,2263189,0.5131848,0.4854948,208851,0.2696744553596331,4.480230340871282,40103.95,29613.09,8375749436.1,88866,27269,20454,8073,23227,90568,118283,151132,20618,13736,11249,12010,98,0,102278,2.04,0.3156358204901894,208851,40103.95,8375749436.1,83757494.361,418787471.8050001,837574943.6100001
Senator Raffaele Ciccone,VIC,4661613,2392269,2263189,0.5131848,0.4854948,208851,0.2696744553596331,4.480230340871282,40103.95,29613.09,8375749436.1,88866,27269,20454,8073,23227,90568,118283,151132,20618,13736,11249,12010,98,0,102278,2.04,0.3156358204901894,208851,40103.95,8375749436.1,83757494.361,418787471.8050001,837574943.6100001
Senator Lisa Darmanin,VIC,4661613,2392269,2263189,0.5131848,0.4854948,208851,0.2696744553596331,4.480230340871282,40103.95,29613.09,8375749436.1,88866,27269,20454,8073,23227,90568,118283,151132,20618,13736,11249,12010,98,0,102278,2.04,0.3156358204901894,208851,40103.95,8375749436.1,83757494.361,418787471.8050001,837574943.6100001
